"nota","tgl","kode","tarif","fpkt"
"JL23090011","2023-09-04","0019","135000",
"JL23090012","2023-09-04","0024","90000",
"JL23090013","2023-09-04","0024","90000",
"JL23090014","2023-09-05","0003","95000",
"JL23090015","2023-09-05","0018","93750","**"
"JL23090016","2023-09-06","0003","95000",
"JL23090017","2023-09-06","0012","65000",
"JL23090017","2023-09-06","0006","45000",
"JL23090018","2023-09-06","0007","50000",
"JL23090018","2023-09-06","0004","120000",
"JL23090019","2023-09-07","0013","120000",
"JL23090020","2023-09-07","0007","50000",
"JL23090020","2023-09-07","0035","110000",
"JL23090021","2023-09-08","0035","110000",
"JL23090022","2023-09-09","0023","35000",
"JL23090023","2023-09-10","0013","120000",
"JL23090023","2023-09-10","0011","45000",
"JL23090024","2023-09-12","0023","35000",
"JL23090025","2023-09-12","0031","150000","**"
"JL23090026","2023-09-14","0009","45000",
"JL23090026","2023-09-14","0011","45000",
"JL23090027","2023-09-15","0018","125000",
"JL23090027","2023-09-15","0003","95000",
"JL23090028","2023-09-17","0027","55000",
"JL23090029","2023-09-17","0004","120000",
"JL23090030","2023-09-20","0009","45000",
"JL23090031","2023-09-22","0012","65000",
"JL23090032","2023-09-23","0018","125000",
"JL23090033","2023-09-23","0010","40000",
"JL23090033","2023-09-23","0012","65000",
"JL23090034","2023-09-24","0018","125000",
"JL23090034","2023-09-24","0019","135000",
"JL23090034","2023-09-24","0020","135000",
"JL23090034","2023-09-24","0018","125000",
"JL23090034","2023-09-24","0018","125000",
"JL23090034","2023-09-24","0020","135000",
"JL23090035","2023-09-24","0017","99000",
"JL23090036","2023-09-26","0023","35000",
"JL23090037","2023-09-27","0022","25000",
"JL23090038","2023-09-27","0003","95000",
"JL23090039","2023-09-28","0019","135000",
"JL23090040","2023-09-28","0035","110000",
"JL23090041","2023-09-29","0012","65000",
"JL23090041","2023-09-29","0013","120000",
"JL23090042","2023-09-30","0035","110000",
"JL23090042","2023-09-30","0035","110000",
"JL23090043","2023-09-30","0035","110000",
"JL23090044","2023-09-30","0023","35000",
"JL23090044","2023-09-30","0022","25000",
"JL23100001","2023-10-01","0041","35000",
"JL23100002","2023-10-01","0010","40000",
"JL23100003","2023-10-01","0018","125000",
"JL23100004","2023-10-03","0008","40000",
"JL23100004","2023-10-03","0023","35000",
"JL23100004","2023-10-03","0032","60000",
"JL23100005","2023-10-04","0024","80000",
"JL23100006","2023-10-04","0018","125000",
"JL23100006","2023-10-04","0004","120000",
"JL23100006","2023-10-04","0007","50000",
"JL23100007","2023-10-05","0012","65000",
"JL23100008","2023-10-06","0019","101250","**"
"JL23100009","2023-10-06","0010","40000",
"JL23100009","2023-10-06","0039","40000",
"JL23100010","2023-10-06","0021","112500","**"
"JL23100010","2023-10-06","0003","95000",
"JL23100011","2023-10-07","0023","35000",
"JL23100012","2023-10-07","0004","120000",
"JL23100012","2023-10-07","0023","35000",
"JL23100013","2023-10-07","0031","150000","**"
"JL23100014","2023-10-09","0006","45000",
"JL23100015","2023-10-09","0006","45000",
"JL23100016","2023-10-09","0003","95000",
"JL23100016","2023-10-09","0010","40000",
"JL23100016","2023-10-09","0023","35000",
"JL23100017","2023-10-09","0003","95000",
"JL23100017","2023-10-09","0013","120000",
"JL23100017","2023-10-09","0023","35000",
"JL23100018","2023-10-10","0042","100000",
"JL23100018","2023-10-10","0002","300000",
